15:05:04.101515 IP6 fe80::d460:9eff:fec4:947e.5353 > ff02::fb.5353: 0 [2q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ipp._tcp.local. (45)
15:05:04.898580 IP6 fe80::d4a3:10ff:feef:279d > ff02::2: ICMP6, router solicitation, length 16
15:05:04.909558 IP6 fe80::d460:9eff:fec4:947e.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR ubuntu.local., (Cache flush) AAAA fe80::d460:9eff:fec4:947e (138)
15:05:05.007718 IP6 fe80::e84a:3fff:fea8:da5f.5353 > ff02::fb.5353: 0*- [0q] 2/0/0 (Cache flush) PTR ubuntu.local., (Cache flush) AAAA fe80::e84a:3fff:fea8:da5f (138)
15:05:05.139783 IP6 fe80::e84a:3fff:fea8:da5f > ff02::2: ICMP6, router solicitation, length 16
15:05:05.160730 IP6 fe80::ccb3:b6ff:fec6:c78 > ff02::2: ICMP6, router solicitation, length 16
15:05:05.358848 ARP, Request who-has 10.0.0.7 tell 10.0.0.1, length 28
15:05:05.360534 ARP, Reply 10.0.0.7 is-at f6:a2:ac:27:f4:9a, length 28
15:05:05.381720 IP6 fe80::d460:9eff:fec4:947e > ff02::2: ICMP6, router solicitation, length 16
15:05:05.530496 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.531357 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.532159 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.532781 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.533888 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.534693 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.535209 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.536339 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.537022 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.538017 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.538851 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.539705 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.540265 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.541383 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.542203 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.543039 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
15:05:05.543882 IP 10.0.0.1.43094 > 10.0.0.7.5566: UDP, length 1470
